release_year,movie_title,movie_url,imdb,platform,geners
2024,KALKI 2898 AD ,https://www.justwatch.com/in/movie/project-k,7.7,"['Apple TV+', 'Bookmyshow']","Action & Adventure, Fantasy, Science-Fiction, Drama, Mystery & Thriller"
2024,MAHARAJA ,https://www.justwatch.com/in/movie/maharaja-2024,8.7,['Apple TV+'],"Drama, Mystery & Thriller, Action & Adventure"
2024,MUNJYA ,https://www.justwatch.com/in/movie/munjha,7.2,['Apple TV+'],"Comedy, Horror"
2019,"THE GANGSTER, THE COP, THE DEVIL ",https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil,6.9,['Apple TV+'],"Crime, Action & Adventure, Mystery & Thriller"
2024,FAMILY STAR ,https://www.justwatch.com/in/movie/family-star,5.3,['Apple TV+'],"Action & Adventure, Drama, Comedy, Romance"
2024,AAVESHAM ,https://www.justwatch.com/in/movie/aavesham-2024,7.9,['Apple TV+'],"Comedy, Action & Adventure"
2024,KILL ,https://www.justwatch.com/in/movie/kill-2024,7.9,[],"
1h 45min"
2024,FURIOSA: A MAD MAX SAGA ,https://www.justwatch.com/in/movie/furiosa,7.6,['Apple TV+'],"Action & Adventure, Science-Fiction, Mystery & Thriller"
2024,THE GOAT LIFE ,https://www.justwatch.com/in/movie/aadujeevitham,8.4,['Apple TV+'],Drama
2019,MAHARSHI ,https://www.justwatch.com/in/movie/maharshi,7.2,"['Amazon Prime Video', 'Amazon Prime Video', 'Apple TV+', 'Hotstar', 'Amazon Video']","Drama, Action & Adventure"
2024,THE FALL GUY ,https://www.justwatch.com/in/movie/the-fall-guy,7.0,['Apple TV+'],"Action & Adventure, Comedy, Drama, Romance"
2024,CIVIL WAR ,https://www.justwatch.com/in/movie/civil-war-2024-0,7.1,['Apple TV+'],"Action & Adventure, Mystery & Thriller"
2015,INSIDE OUT ,https://www.justwatch.com/in/movie/inside-out,8.1,['Crunchyroll'],"Animation, Kids & Family, Action & Adventure, Drama, Comedy, Fantasy"
2024,GARUDAN ,https://www.justwatch.com/in/movie/garudan-2024,7.2,['Apple TV+'],"Action & Adventure, Crime, Mystery & Thriller"
2024,SRIKANTH ,https://www.justwatch.com/in/movie/sri-2023,7.5,['Apple TV+'],Drama
2024,KINGDOM OF THE PLANET OF THE APES ,https://www.justwatch.com/in/movie/kingdom-of-the-planet-of-the-apes,7.0,['Apple TV+'],"Science-Fiction, Drama, Mystery & Thriller, Action & Adventure"
2023,GODZILLA MINUS ONE ,https://www.justwatch.com/in/movie/godzilla-minus-one,7.7,['Apple TV+'],"Science-Fiction, Horror, Action & Adventure, Drama"
2024,GODZILLA X KONG: THE NEW EMPIRE ,https://www.justwatch.com/in/movie/godzilla-x-kong-the-new-empire,6.1,['Apple TV+'],"Science-Fiction, Mystery & Thriller, Action & Adventure, Fantasy"
2024,MANJUMMEL BOYS ,https://www.justwatch.com/in/movie/manjummel-boys,8.3,['Apple TV+'],"Drama, Mystery & Thriller"
2024,LAAPATAA LADIES ,https://www.justwatch.com/in/movie/laapataa-ladies,8.5,['Apple TV+'],"Comedy, Drama"
2024,DUNE: PART TWO ,https://www.justwatch.com/in/movie/dune-part-two,8.6,['Apple TV+'],"Science-Fiction, Drama, Action & Adventure"
2024,GURUVAYOOR AMBALANADAYIL ,https://www.justwatch.com/in/movie/guruvayoor-ambalanadayil,6.7,['Apple TV+'],Comedy
2024,HIT MAN ,https://www.justwatch.com/in/movie/hit-man,6.9,['Apple TV+'],"Comedy, Romance, Crime"
2020,365 DAYS ,https://www.justwatch.com/in/movie/365-days,3.3,['Apple TV+'],"Drama, Romance, Made in Europe"
,,,,,
2024,KUNG FU PANDA 4 ,https://www.justwatch.com/in/movie/kung-fu-panda-4,6.3,['Crunchyroll'],"Animation, Action & Adventure, Comedy, Kids & Family, Fantasy"
2024,ARANMANAI 4 ,https://www.justwatch.com/in/movie/aranmanai-4,5.2,"['Hotstar', 'Apple TV+', 'Bookmyshow']","Comedy, Horror"
2024,JE JATT VIGARH GYA ,https://www.justwatch.com/in/movie/je-jatt-vigad-gya,4.6,['Apple TV+'],unable to fetch genre
2023,OPPENHEIMER ,https://www.justwatch.com/in/movie/oppenheimer,8.3,"['Apple TV', 'Jio Cinema', 'Apple TV+', 'Jio Cinema', 'Zee5', 'Amazon Video', 'Apple TV', 'Hungama Play', 'Apple TV']","Drama, History"
2024,SATYABHAMA ,https://www.justwatch.com/in/movie/satyabhama,6.8,"['Amazon Prime Video', 'Amazon Prime Video', 'Apple TV+']","Crime, Drama, Mystery & Thriller"
2024,HAROM HARA ,https://www.justwatch.com/in/movie/harom-hara,8.5,"['Amazon Prime Video', 'Amazon Prime Video', 'Jio Cinema', 'aha', 'Apple TV+']","Action & Adventure, Crime, Drama"
2023,MONSTER ,https://www.justwatch.com/in/movie/monster-2023,7.8,"['Amazon Prime Video', 'Amazon Prime Video', 'Apple TV+']","Drama, Mystery & Thriller"
2024,INSIDE OUT 2 ,https://www.justwatch.com/in/movie/inside-out-2,7.8,"['Crunchyroll', 'Bookmyshow']","Animation, Drama, Kids & Family, Fantasy, Comedy"
2011,ROCKSTAR ,https://www.justwatch.com/in/movie/rockstar,7.8,['Apple TV+'],"Romance, Drama, Music & Musical"
2014,ADDICTED ,https://www.justwatch.com/in/movie/addicted,5.0,['Apple TV+'],"Drama, Mystery & Thriller, Romance"
2024,MAIDAAN ,https://www.justwatch.com/in/movie/maidaan,8.1,"['Amazon Prime Video', 'Amazon Prime Video', 'Apple TV+', 'Amazon Video']","Drama, History, Sport"
2015,MAD MAX: FURY ROAD ,https://www.justwatch.com/in/movie/mad-max-fury-road,8.1,"['Amazon Prime Video', 'Apple TV', 'Amazon Prime Video', 'Jio Cinema', 'Netflix', 'Apple TV+', 'Amazon Video', 'Apple TV', 'Apple TV']","Action & Adventure, Science-Fiction, Mystery & Thriller"
2023,ANIMAL ,https://www.justwatch.com/in/movie/animal-2022,6.2,['Apple TV+'],"Drama, Crime, Mystery & Thriller, Action & Adventure"
2024,HANU-MAN ,https://www.justwatch.com/in/movie/hanu-man,7.8,['Apple TV+'],"Fantasy, Science-Fiction, Action & Adventure"
2023,SALAAR ,https://www.justwatch.com/in/movie/salaar,6.5,"['Hotstar', 'Netflix', 'Apple TV+', 'Bookmyshow']","Action & Adventure, Crime, Drama, Mystery & Thriller"
2024,WILD WILD PUNJAB ,https://www.justwatch.com/in/movie/wild-wild-punjab,6.6,"['Netflix', 'Apple TV+']","Comedy, Romance"
2023,12TH FAIL ,https://www.justwatch.com/in/movie/12th-fail,8.9,"['Hotstar', 'Apple TV+']",Drama
2024,PREMALU ,https://www.justwatch.com/in/movie/premalu,7.9,['Apple TV+'],"Comedy, Romance"
2021,DUNE ,https://www.justwatch.com/in/movie/dune-2021,8.0,['Apple TV+'],"Science-Fiction, Action & Adventure, Drama"
2023,PERFECT DAYS ,https://www.justwatch.com/in/movie/perfect-days,7.9,"['MUBI', 'MUBI Amazon Channel', 'Apple TV+']",Drama
2024,A QUIET PLACE: DAY ONE ,https://www.justwatch.com/in/movie/a-quiet-place-day-one,6.7,['Apple TV+'],"Mystery & Thriller, Drama, Horror, Science-Fiction"
2024,CHALLENGERS ,https://www.justwatch.com/in/movie/challengers,7.2,"['Apple TV', 'Apple TV+', 'Amazon Video', 'Apple TV', 'Apple TV']","Drama, Romance, Comedy, Sport"
2018,LAILA MAJNU ,https://www.justwatch.com/in/movie/laila-majnu,7.7,['Apple TV+'],"Romance, Drama"
2024,BAD BOYS: RIDE OR DIE ,https://www.justwatch.com/in/movie/bad-boys-4,6.9,"['Apple TV', 'Apple TV+', 'Zee5', 'Amazon Video', 'Apple TV', 'Apple TV']","Crime, Mystery & Thriller, Comedy, Romance, Action & Adventure"
2018,A QUIET PLACE ,https://www.justwatch.com/in/movie/a-quiet-place,7.5,"['Amazon Prime Video', 'Apple TV', 'Amazon Prime Video', 'Jio Cinema', 'Netflix', 'Apple TV+', 'Amazon Video', 'Apple TV', 'Apple TV']","Horror, Drama, Science-Fiction"
